"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"Microsoft Hyper-V Virtual Machine Bus Provider","ROOT\VMBUS\0000","OK","System","Microsoft Hyper-V Virtual Machine Bus Provider","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","PCI\VEN_8086&DEV_2044&SUBSYS_07381028&REV_04\3&36CB97A3&0&54","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","PCI\VEN_8086&DEV_2044&SUBSYS_07381028&REV_04\3&36CB97A3&0&64","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","System.String[]"
"Microsoft Basic Display Driver","ROOT\BASICDISPLAY\0000","OK","System","Microsoft Basic Display Driver","System.String[]"
"Intel(R) USB 3.0 eXtensible Host Controller - 1.0 (Microsoft)","PCI\VEN_8086&DEV_A2AF&SUBSYS_07381028&REV_00\3&11583659&0&A0","OK","USB","Intel(R) USB 3.0 eXtensible Host Controller - 1.0 (Microsoft)","System.String[]"
"Logitech Download Assistant","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","Unknown","HIDClass","Logitech Download Assistant","System.String[]"
"ACPI Sleep Button","ACPI\PNP0C0E\2&DABA3FF&0","OK","System","ACPI Sleep Button","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2086","PCI\VEN_8086&DEV_2086&SUBSYS_07381028&REV_04\3&2411E6FE&0&F6","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2086","System.String[]"
"Intel(R) Wireless Bluetooth(R)","USB\VID_8087&PID_0029\5&129774C1&0&11","OK","Bluetooth","Intel(R) Wireless Bluetooth(R)","System.String[]"
"Microsoft Hypervisor Service","ROOT\HVSERVICE\0000","OK","System","Microsoft Hypervisor Service","System.String[]"
"HID-compliant system controller","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","Unknown","HIDClass","HID-compliant system controller","System.String[]"
"HID-compliant vendor-defined device","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Alex’s AirPods Hands-Free","BTHHFENUM\BTHHFPAUDIO\8&15564BE9&0&97","OK","MEDIA","Alex’s AirPods Hands-Free","System.String[]"
